x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,LSGPA: The Life Sciences Greenhouse of Central PA,Harrisburg,PA,1,,,,,11,,Biotechnology,5,Therapeutics,3,Medical Device,3,Health care,3,Software,3,lsgpa.com,https://www.crunchbase.com/organization/life-sciences-greenhouse-of-pennsylvania,linkedin.com/company/2464422,x,,,,,https://www.linkedin.com/in/jefry-jekpo-barker-79b7b7102
,Ludlow Ventures,Detroit,MI,1,1,1,2,$60.0,92,19,Mobile,16,E-Commerce,13,Social Media,8,Software,7,Mobile Apps,6,ludlowventures.com,https://www.crunchbase.com/organization/ludlow-ventures-llc,https://www.linkedin.com/company/ludlow-ventures/,x,,,,,"https://www.linkedin.com/in/jtriest, https://www.linkedin.com/in/brettdemarrais, https://www.linkedin.com/in/francisco-soto-9155ba30b, https://www.linkedin.com/in/tim-lecavert-48397328b, https://www.linkedin.com/in/aslam-shaikh-205893311, https://www.linkedin.com/in/moshe-belk-51027310"
,Lumia Capital,San Francisco,CA,1,1,1,1,,45,5,Mobile,7,E-Commerce,6,Software,6,Internet,5,SaaS,5,lumiacapital.com,https://www.crunchbase.com/organization/lumia-capital,https://www.linkedin.com/company/lumia-capital/,x,,,"https://www.linkedin.com/in/johnlagomarsino, https://www.linkedin.com/in/borisbogatin, https://www.linkedin.com/in/chrrogers, https://www.linkedin.com/in/joel-ayala-375b3269, https://www.linkedin.com/in/jonathan-krause-998bb319, https://www.linkedin.com/in/lawrencesidawang, https://www.linkedin.com/in/leonard-lodish-474b6, https://www.linkedin.com/in/marting, https://www.linkedin.com/in/nileshlakhani, https://www.linkedin.com/in/peter-weed-0900632",,"https://www.linkedin.com/in/johnlagomarsino, https://www.linkedin.com/in/borisbogatin, https://www.linkedin.com/in/chrrogers, https://www.linkedin.com/in/joel-ayala-375b3269, https://www.linkedin.com/in/jonathan-krause-998bb319, https://www.linkedin.com/in/lawrencesidawang, https://www.linkedin.com/in/leonard-lodish-474b6, https://www.linkedin.com/in/marting, https://www.linkedin.com/in/nileshlakhani, https://www.linkedin.com/in/peter-weed-0900632"
,Luminari Capital,Palo Alto,Ca,1,1,1,1,$30.6,23,2,Video,7,Digital Media,3,Digital Entertainment,3,Photography,2,Sports,2,luminaricapital.com,https://www.crunchbase.com/organization/luminari-capital,https://www.linkedin.com/company/luminari-capital/,x,,,,,"https://www.linkedin.com/in/dankazan, https://www.linkedin.com/in/jay-spencer080"
,Lumos Innovation,Columbus,OH,1,,,,,15,,Service Industry,2,MarketPlace,2,Education,1,Photography,1,Food & Beverage,1,lumosinnovation.com,https://www.crunchbase.com/organization/lumos-accelerator,linkedin.com/company/5237548,x,,,,,"https://www.linkedin.com/in/maxlipnick, https://www.linkedin.com/in/heide-camarata-connolly-ab35a6116, https://www.linkedin.com/in/michael-jindra-69398084, https://www.linkedin.com/in/kaitlen-seals-5b9412142, https://www.linkedin.com/in/jayclouse, https://www.linkedin.com/in/christian-lampasso"
,LunaCap Ventures,New York,NY,1,,,,,,,,,,,,,,,,,lunacapventures.com,https://www.crunchbase.com/organization/lunacap-ventures,linkedin.com/company/9458584,x,,,,,"https://www.linkedin.com/in/paul-capon-266a051, https://www.linkedin.com/in/gregory-rives25b247, https://www.linkedin.com/in/eliott-frank-79a6243, https://www.linkedin.com/in/kampanath-panthithosanyu, https://www.linkedin.com/in/oliver-walters-4358109, https://www.linkedin.com/in/john-depaul-jd-mba-24253b16"
,M25 Group,Chicago,IL,1,1,1,2,$12.0,63,2,Software,8,Mobile,7,E-Commerce,5,Health care,5,SaaS,5,m25group.com,https://www.crunchbase.com/organization/m25-group,https://www.linkedin.com/company/m25-vc/,x,,,,,"https://www.linkedin.com/in/victor-gutwein, https://www.linkedin.com/in/dmikeasem, https://www.linkedin.com/in/katiebirge, https://www.linkedin.com/in/itsabhinaya"
,Madrona Venture Group,Seattle,WA,1,,,7,$1.6B,295,60,Software,31,Enterprise Software,25,Internet,22,Mobile,17,Informatiom Technology,14,madrona.com,https://www.crunchbase.com/organization/madrona-venture-group,linkedin.com/company/39297,x,,,,,"https://www.linkedin.com/in/s-somasegar-113791a5, https://www.linkedin.com/in/bill-richter-839aaa8, https://www.linkedin.com/in/kieu-ly, https://www.linkedin.com/in/john-carpenter-0972a36, https://www.linkedin.com/in/momen-ramadan-7b016110b, https://www.linkedin.com/in/sabrina-albert"
,Maiden Lane,San Francisco,CA,1,,,1,$25.0,30,4,SaaS,5,Education,4,Internet,4,Mobile,4,Travel,3,maidenlane.com,https://www.crunchbase.com/organization/maiden-lane-ventures,https://www.linkedin.com/company/maiden-lane/,x,,,,,"https://www.linkedin.com/in/klaws, https://www.linkedin.com/in/dolginow, https://www.linkedin.com/in/naval, https://www.linkedin.com/in/jeff-fagnan-7b018"
,MainLine Investment Partners,Wynnewood,PA,1,1,1,,,2,,Banking,1,Commercial Real Estate,1,Medical,1,Commercial Landing,1,Cannabis,1,mainlineco.com,https://www.crunchbase.com/organization/mainline-investment-partners,https://www.linkedin.com/company/mainline-investment-partners/,x,,,,,
,Maplewood Capital,Cary,NC,1,,,1,$3.0,,,,,,,,,,,,,maplewoodcapital.com,https://www.crunchbase.com/organization/maplewood-capital,linkedin.com/company/22290330,x,,,,,"https://www.linkedin.com/in/sophia-a-003b34267, https://www.linkedin.com/in/peter-niedland-cfa-5b19a7179, https://www.linkedin.com/in/aurora-fagan-51b481149, https://www.linkedin.com/in/darrencwallis, https://www.linkedin.com/in/peter-leroux, https://www.linkedin.com/in/david-e-elliott-84a29513"
,Marcy VP,San Francisco,CA,1,1,,3,$20.0,74,16,Software,13,Health care,10,Enterprise Software,8,Social Media,6,Informatiom Technology,6,oakhousepartners.com,https://www.crunchbase.com/organization/oakhousepartners,https://www.linkedin.com/company/oakhouse-partners/,x,,,,,"https://www.linkedin.com/in/abby-marcy-8a463299, https://www.linkedin.com/in/taber-marcy-9424b212, https://www.linkedin.com/in/nora-marcy-63563a6a, https://www.linkedin.com/in/thomas-marcy-9226613b, https://www.linkedin.com/in/rick-marcy-1760b9209, https://www.linkedin.com/in/abigail-marcy-0b6764110"
,Mark Cuban Companies,Dallas,TX,1,,,,,1,,Education,1,SaaS,1,Photo Sharing,1,Primary Education,1,,,MarkCubanCompanies.com,https://www.crunchbase.com/organization/mark-cuban-companies-group,linkedin.com/company/6314585,x,,,,,"https://www.linkedin.com/in/ericjustinaaronson, https://www.linkedin.com/in/ryankline, https://www.linkedin.com/in/helenmcdaniel2142014, https://www.linkedin.com/in/robert-hart-166a0516a, https://www.linkedin.com/in/gregory-blake-davis-93460498, https://www.linkedin.com/in/shersteven"
,Marker,New York,NY,1,1,1,5,$305.9,83,7,Software,9,Enterprise Software,9,Video,8,Analytics,6,Advertising,5,marker-llc.com,https://www.crunchbase.com/organization/marker,https://www.linkedin.com/company/marker-llc/,x,,,,,"https://www.linkedin.com/in/marker-llc-488738129, https://www.linkedin.com/in/michaelmarker, https://www.linkedin.com/in/mark-e-jones-57335b4, https://www.linkedin.com/in/meg-floyd-jones-44274214, https://www.linkedin.com/in/garik-galstyan-01656216a, https://www.linkedin.com/in/marker-marker-211b12265"
,Maroon Venture Partners Fund,Amherst,MA,1,,,,,,,,,,,,,,,,,maroonventurepartners.com,,linkedin.com/company/18257765,x,,,,,"https://www.linkedin.com/in/sarosh-kotwal, https://www.linkedin.com/in/ellie-zieper, https://www.linkedin.com/in/sterling-c, https://www.linkedin.com/in/brettkochanski, https://www.linkedin.com/in/ameetasoni, https://www.linkedin.com/in/kylejlong"
,MassVentures,Boston,MA,1,,,1,$13.0,46,12,Informatiom Technology,7,Software,5,Enterprise Software,5,Health care,3,Security,3,mass-ventures.com,https://www.crunchbase.com/organization/massventures,linkedin.com/company/2585820,x,,,,,"https://www.linkedin.com/in/mass-ventures-78669610b, https://www.linkedin.com/in/ben-l-e, https://www.linkedin.com/in/myronkassaraba, https://www.linkedin.com/in/vinitnijhawan, https://www.linkedin.com/in/stacyswider, https://www.linkedin.com/in/priyay"
,Math Venture Partners,Chicago,IL,1,1,,2,$28.0,30,1,Mobile,5,Restaurents,3,SaaS,3,Mobile Apps,3,Software,3,mathventurepartners.com,https://www.crunchbase.com/organization/math-venture-partners,https://www.linkedin.com/company/math-venture-partners/,x,,,,,"https://www.linkedin.com/in/markachler, https://www.linkedin.com/in/troyhenikoff, https://www.linkedin.com/in/danavc, https://www.linkedin.com/in/kristie-domzalski-25471066"
,Matter,San Francisco,CA,1,1,,,,25,,News,7,E-Commerce,5,Social Media,5,Digital Media,4,Art,3,matter.vc,https://www.crunchbase.com/organization/matter-ventures,https://www.linkedin.com/company/matter-/,x,,,"https://www.linkedin.com/in/wen-h-hsieh-ph-d-70b4042, https://www.linkedin.com/in/haomiao-huang-phd-87988222, https://www.linkedin.com/in/meaghanconeill, https://www.linkedin.com/in/brock-csira-998bb1b0",,"https://www.linkedin.com/in/wen-h-hsieh-ph-d-70b4042, https://www.linkedin.com/in/haomiao-huang-phd-87988222, https://www.linkedin.com/in/meaghanconeill, https://www.linkedin.com/in/brock-csira-998bb1b0"
,Maven Ventures,Palo Alto,CA,1,1,,1,$5.0,37,7,Transportation,6,Mobile,5,Robotics,4,Social Media,4,Automotive,4,mavenventures.com,https://www.crunchbase.com/organization/maven-ventures-vc,https://www.linkedin.com/company/maven-ventures-vc./,x,,,"https://www.linkedin.com/in/annakawest, https://www.linkedin.com/in/jscheinman, https://www.linkedin.com/in/robrav, https://www.linkedin.com/in/saradeshpande",,"https://www.linkedin.com/in/annakawest, https://www.linkedin.com/in/jscheinman, https://www.linkedin.com/in/robrav, https://www.linkedin.com/in/saradeshpande"
,Maveron LLC,Seattle,WA,1,,,6,$1.1B,212,35,E-Commerce,28,Internet,20,Mobile,13,Education,11,Retail,10,maveron.com,https://www.crunchbase.com/organization/maveron,linkedin.com/company/60039,x,,,"https://www.linkedin.com/in/anarghya-vardhana-b8540a27, https://www.linkedin.com/in/angelajgabel, https://www.linkedin.com/in/angelina-dipreta-223031a1, https://www.linkedin.com/in/clayton-benjamin-hess, https://www.linkedin.com/in/dlevitan, https://www.linkedin.com/in/hunterlampson, https://www.linkedin.com/in/jodi-olson-90382b, https://www.linkedin.com/in/jstoffer, https://www.linkedin.com/in/kwidrick, https://www.linkedin.com/in/natalie-dillon, https://www.linkedin.com/in/nathan-apsel-87540733, https://www.linkedin.com/in/nicole-tighe-6666748b, https://www.linkedin.com/in/rlyurman, https://www.linkedin.com/in/simran-suri-540745147, https://www.linkedin.com/in/thejerrylu",,"https://www.linkedin.com/in/anarghya-vardhana-b8540a27, https://www.linkedin.com/in/angelajgabel, https://www.linkedin.com/in/angelina-dipreta-223031a1, https://www.linkedin.com/in/clayton-benjamin-hess, https://www.linkedin.com/in/dlevitan, https://www.linkedin.com/in/hunterlampson, https://www.linkedin.com/in/jodi-olson-90382b, https://www.linkedin.com/in/jstoffer, https://www.linkedin.com/in/kwidrick, https://www.linkedin.com/in/natalie-dillon, https://www.linkedin.com/in/nathan-apsel-87540733, https://www.linkedin.com/in/nicole-tighe-6666748b, https://www.linkedin.com/in/rlyurman, https://www.linkedin.com/in/simran-suri-540745147, https://www.linkedin.com/in/thejerrylu"
,Max Ventures,New York,NY,1,,,,,34,5,E-Commerce,8,Fashion,4,Retail,3,Automotive,3,Software,3,maxventures.vc,https://www.crunchbase.com/organization/basset-investment-group,linkedin.com/company/18364763,x,,,"https://www.linkedin.com/in/matthewjweinberg, https://www.linkedin.com/in/ryan-darnell-9728013b",,"https://www.linkedin.com/in/matthewjweinberg, https://www.linkedin.com/in/ryan-darnell-9728013b"
,Maxfield Capital,New York,NY,1,1,,1,$100.0,37,4,Software,5,Mobile,5,Analytics,4,E-Commerce,3,Health care,3,maxfieldcapital.com,https://www.crunchbase.com/organization/maxfield-capital,https://www.linkedin.com/company/maxfield-capital/,x,,,"https://www.linkedin.com/in/alexanderturkot, https://www.linkedin.com/in/olegkoujikov",,"https://www.linkedin.com/in/alexanderturkot, https://www.linkedin.com/in/olegkoujikov"
,McCune Capital,New York,NY,1,1,,,,10,1,SaaS,3,Recycling,2,Transportation,2,Real Estate,2,Software,2,mccune.vc,https://www.crunchbase.com/organization/mccune-capital,https://www.linkedin.com/company/mccune-capital/,x,,,,,"https://www.linkedin.com/in/the-laura-allen, https://www.linkedin.com/in/justin-mccune-024714a"
,Mehta Ventures,La Habra,CA,1,,,,,1,,Education,1,Software Engineering,1,,,,,,,mehtaventures.co,https://www.crunchbase.com/organization/mehta-ventures,linkedin.com/company/18833631,x,,,,,"https://www.linkedin.com/in/sameer-mehta-ventures, https://www.linkedin.com/in/ms-kureshi-85306217b, https://www.linkedin.com/in/livanshu-mehta-570b3b324, https://www.linkedin.com/in/komal-sodhe-66814520b, https://www.linkedin.com/in/drj-mehta-7905831a0, https://www.linkedin.com/in/ukcreps-took-223585265"
,Menlo Ventures,Menlo Park,CA,1,,,6,,548,120,Software Engineering,0,Enterprise Software,51,Mobile,34,Internet,30,E-Commerce,17,menlovc.com,https://www.crunchbase.com/organization/menlo-ventures,linkedin.com/company/39208,x,,,"https://www.linkedin.com/in/scarolan, https://www.linkedin.com/in/debarghyadas, https://www.linkedin.com/in/derekgxiao",,"https://www.linkedin.com/in/scarolan, https://www.linkedin.com/in/debarghyadas, https://www.linkedin.com/in/derekgxiao"
,Mentors Fund,San Francisco,CA,1,,,,,,,,,,,,,,,,,mentors.fund,https://www.crunchbase.com/organization/mentors-fund,linkedin.com/company/18321131,x,,,,,"https://www.linkedin.com/in/umkhan, https://www.linkedin.com/in/meganuberry, https://www.linkedin.com/in/sahandsoltanieh, https://www.linkedin.com/in/amysychen, https://www.linkedin.com/in/mahnoor-sajid-100029217, https://www.linkedin.com/in/fiyin-adedoyin-ogunlesi"
,MentorTech Ventures,Philadelphia,PA,1,1,1,2,$64.2,41,8,E-Commerce,5,Health care,5,Mobile,4,Consumer Electronics,3,Retail,3,mentortechventures.com,https://www.crunchbase.com/organization/mentortech-ventures,https://www.linkedin.com/company/mentortech-ventures/,x,,,,,"https://www.linkedin.com/in/admin-mentortech-10595882, https://www.linkedin.com/in/craig-lebowitz-60b15b11"
,Mercury Fund,Houston,TX,1,,,4,$195.0,130,15,Biotechnology,10,Enterprise Software,10,Health care,9,Analytics,9,Software Engineering,9,mercuryfund.com,https://www.crunchbase.com/organization/mercury-fund,linkedin.com/company/89092,x,,,,,
,Merian Ventures,San Francisco,CA,1,,,,,8,,SaaS,2,Human Resources,2,Software,2,Artificial Intelligence,2,Real Time,1,merianventures.com,https://www.crunchbase.com/organization/merian-ventures,linkedin.com/company/18466114,x,,,,,
,Meridian Street Capital,Carmel,IN,1,,,1,$10.0,11,,Health care,7,SaaS,2,Hospital,2,Welllness,2,Information Technology,2,meridianstreetcapital.com,https://www.crunchbase.com/organization/meridian-street-capital,linkedin.com/company/10594868,x,,,,,
,MESA+,New York,NY,1,1,1,1,$10.0,55,13,Mobile,13,E-Commerce,6,Internet,6,Advertising,6,Software,6,mesa.vc,https://www.crunchbase.com/organization/mesa-ventures,https://www.linkedin.com/company/mesa-ventures/,x,,,,,
,Metamorphic Ventures,New York,NY,1,,,3,$142.0,152,32,Software,23,Mobile,15,E-Commerce,14,SaaS,13,Advertising,13,metamorphic.vc,https://www.crunchbase.com/organization/metamorphic-ventures-llc,linkedin.com/company/274951,x,,,,,"https://www.linkedin.com/in/jasonrshein, https://www.linkedin.com/in/ravena-lelijak-0bab5411, https://www.linkedin.com/in/bkbuchanan, https://www.linkedin.com/in/davidgreenstein, https://www.linkedin.com/in/jonathanwebster12, https://www.linkedin.com/in/natebeatty, https://www.linkedin.com/in/sethpage"
,MHS Capital,San Francisco,CA,1,1,1,1,$75.0,48,9,Internet,8,SaaS,5,Advertising,5,Mobile,5,E-Commerce,4,mhscapital.com,https://www.crunchbase.com/organization/mhs-capital,https://www.linkedin.com/company/mhs-capital-limited/,x,,,,,
,MI Ventures,New York,NY,1,,,1,,17,2,Advertising,5,SaaS,3,Analytics,3,Enterprise Software,3,Mobile,3,miventuresllc.com,https://www.crunchbase.com/organization/mi-ventures,linkedin.com/company/3237947,x,,,,,
,Michigan Angel Fund,Ann Arbor,MI,1,1,,2,$2.0,13,,Information Technology,2,Manufacturing,2,Embedded Systems,1,Fitness,1,Marketing,1,miangelfund.com,https://www.crunchbase.com/organization/michigan-angel-fund,https://www.linkedin.com/company/michigan-angel-fund/,x,,,,,"https://www.linkedin.com/in/jonbaronmi, https://www.linkedin.com/in/von-miller-583609267, https://www.linkedin.com/in/skip-simms-6b03651, https://www.linkedin.com/in/aaron-broglin, https://www.linkedin.com/in/mark-benfer-b246915, https://www.linkedin.com/in/abessmakki"
,Militello Capital,Leesburg,VA,1,1,1,1,,17,4,Mobile,5,Fitness,2,E-Commerce,2,Internet,2,Social Media,2,militellocapital.com,https://www.crunchbase.com/organization/militello-capital,https://www.linkedin.com/company/militello-capital/,x,,,,,"https://www.linkedin.com/in/sean-mykietyn-b190a1b, https://www.linkedin.com/in/amanda-dawson-2b621a20, https://www.linkedin.com/in/sylvain-chevalier-76561714, https://www.linkedin.com/in/jack-tymann-29864113, https://www.linkedin.com/in/claudia-cole-72916a57, https://www.linkedin.com/in/andrew-thompson-98954994"
,Mindset Ventures,Mountain View,CA,1,1,1,1,$20.0,26,,Software,7,Machine Learning,5,Artificial Intelligence,5,Health care,4,Financial Service,4,mindset.ventures,https://www.crunchbase.com/organization/mindset-ventures,https://www.linkedin.com/company/mindset-ventures/,x,,,"https://www.linkedin.com/in/nemerrahal, https://www.linkedin.com/in/drewthurlow",,"https://www.linkedin.com/in/nemerrahal, https://www.linkedin.com/in/drewthurlow"
,Miracle Ventures,Denver,CO,1,,,,,,,,,,,,,,,,,MiracleVentures.com,https://www.crunchbase.com/organization/miracle-ventures,linkedin.com/company/3854133,x,,,,,"https://www.linkedin.com/in/edward-w-mandel-760185, https://www.linkedin.com/in/nickzehnbauer, https://www.linkedin.com/in/deannaruzanski, https://www.linkedin.com/in/amanda-harding-6433bb1a, https://www.linkedin.com/in/maryjane-ogbonne, https://www.linkedin.com/in/krishna-karia-92a893b2"
,Mission Bay Capital,San Francisco,CA,1,,,1,$25.0,29,4,Biotechnology,15,Therapeutics,9,Health care,8,Medical,5,Pharmaceutical,2,missionbaycapital.com,https://www.crunchbase.com/organization/mission-bay-capital-llc,linkedin.com/company/1501772,x,,,,,"https://www.linkedin.com/in/kristinejefferson, https://www.linkedin.com/in/vivian-dang-cpa-b4a47a38, https://www.linkedin.com/in/daniel-woodford-a581422b0, https://www.linkedin.com/in/ken-harrison-71079a, https://www.linkedin.com/in/apwon, https://www.linkedin.com/in/jonathanlee-23"
,MissionOG,Philadelphia,PA,1,1,1,3,$108.0,31,4,Financial Service,8,Software,7,FinTech,7,Payments,5,Finance,4,missionog.com,https://www.crunchbase.com/organization/missionog,https://www.linkedin.com/company/missionog/,x,,,,,"https://www.linkedin.com/in/georgekrautzel, https://www.linkedin.com/in/rometzger, https://www.linkedin.com/in/kelsey-oneill, https://www.linkedin.com/in/jason-tiede-757348, https://www.linkedin.com/in/pmurray1, https://www.linkedin.com/in/lloyd-wirshba-33237b, https://www.linkedin.com/in/kevinmarcleonard, https://www.linkedin.com/in/andy-newcomb-a37454"
